Date,Description,Amount,Running Bal.
04/30/2025,"PAYROLL DIRECT DEPOSIT",4800.00,"6,234.56"
04/28/2025,"ZELLE FROM DIVYA CONF# 987654321",350.00,"1,434.56"
04/27/2025,"WISE PAYMENT - INDIA",-1500.00,"1,084.56"
04/25/2025,"NETFLIX.COM",-15.49,"2,584.56"
04/24/2025,"WHOLE FOODS MARKET #0123",-84.32,"2,600.05"
04/23/2025,"STARBUCKS #04561",-6.75,"2,684.37"
04/22/2025,"LYFT *RIDE",-18.50,"2,691.12"
04/21/2025,"ZELLE TO CHECKING TRANSFER",-500.00,"2,709.62"
04/20/2025,"UBER 072AB1",-22.00,"3,209.62"
04/18/2025,"SPOTIFY USA",-10.99,"3,231.62"
